ID,Label,Industry
AAC,AAC,Fin
AC,AC,Fin
AI,AI,Fin
AINC,AINC,Fin
AMG,AMG,Fin
AMP,AMP,Fin
AMTD,AMTD,Fin
ANCX,ANCX,Fin
APAM,APAM,Fin
APO,APO,Fin
ARES,ARES,Fin
ASB,ASB,Fin
BBT,BBT,Fin
BCSF,BCSF,Fin
BCTF,BCTF,Fin
BEN,BEN,Fin
BHB,BHB,Fin
BLK,BLK,Fin
BY,BY,Fin
CBOE,CBOE,Fin
CBSH,CBSH,Fin
CCC,CCC,Fin
CCT,CCT,Fin
CEMI,CEMI,Fin
CFR,CFR,Fin
CLNT,CLNT,Fin
CME,CME,Fin
CNNE,CNNE,Fin
CNS,CNS,Fin
COHN,COHN,Fin
COTV,COTV,Fin
CQH,CQH,Fin
CWH,CWH,Fin
CZNC,CZNC,Fin
DHCP,DHCP,Fin
DHIL,DHIL,Fin
DNBF,DNBF,Fin
DS,DS,Fin
EBMT,EBMT,Fin
EBTC,EBTC,Fin
EFSC,EFSC,Fin
EMCF,EMCF,Fin
ESSA,ESSA,Fin
ETFC,ETFC,Fin
EV,EV,Fin
EVR,EVR,Fin
FCB,FCB,Fin
FII,FII,Fin
FITB,FITB,Fin
FNF,FNF,Fin
FNGN,FNGN,Fin
FPAC,FPAC,Fin
FUSB,FUSB,Fin
GBL,GBL,Fin
GCAP,GCAP,Fin
GGO,GGO,Fin
GHL,GHL,Fin
GIG,GIG,Fin
GRAF,GRAF,Fin
GROW,GROW,Fin
GS,GS,Fin
GSAH,GSAH,Fin
HCAC,HCAC,Fin
HLI,HLI,Fin
HNNA,HNNA,Fin
HRI,HRI,Fin
HZN,HZN,Fin
IBKR,IBKR,Fin
ICE,ICE,Fin
INTL,INTL,Fin
IOR,IOR,Fin
ISBC,ISBC,Fin
ITG,ITG,Fin
JMBA,JMBA,Fin
JMP,JMP,Fin
KINS,KINS,Fin
KKR,KKR,Fin
LBAI,LBAI,Fin
LFVN,LFVN,Fin
LGC,LGC,Fin
LIQT,LIQT,Fin
LM,LM,Fin
LMST,LMST,Fin
LQ,LQ,Fin
LTS,LTS,Fin
MC,MC,Fin
MCBC,MCBC,Fin
MDLY,MDLY,Fin
MFAC,MFAC,Fin
MGY,MGY,Fin
MGYR,MGYR,Fin
MKTX,MKTX,Fin
MLNK,MLNK,Fin
MN,MN,Fin
MORN,MORN,Fin
MOSC,MOSC,Fin
MS,MS,Fin
MSCI,MSCI,Fin
NDAQ,NDAQ,Fin
NEWM,NEWM,Fin
NFBK,NFBK,Fin
NHLD,NHLD,Fin
NRCG,NRCG,Fin
OPY,OPY,Fin
ORIT,ORIT,Fin
PBIB,PBIB,Fin
PFIS,PFIS,Fin
PGC,PGC,Fin
PJC,PJC,Fin
PJT,PJT,Fin
PMBC,PMBC,Fin
PRK,PRK,Fin
PTX,PTX,Fin
PZN,PZN,Fin
RFL,RFL,Fin
RGLD,RGLD,Fin
RJF,RJF,Fin
RMAX,RMAX,Fin
SBCP,SBCP,Fin
SCHW,SCHW,Fin
SEIC,SEIC,Fin
SEII,SEII,Fin
SF,SF,Fin
SFE,SFE,Fin
SIEB,SIEB,Fin
SPGI,SPGI,Fin
SQBG,SQBG,Fin
STCN,STCN,Fin
STNL,STNL,Fin
SYBT,SYBT,Fin
TCI,TCI,Fin
TFSL,TFSL,Fin
TPGE,TPGE,Fin
TRMK,TRMK,Fin
TROW,TROW,Fin
UBNK,UBNK,Fin
UHAL,UHAL,Fin
VHC,VHC,Fin
VNCE,VNCE,Fin
VNTV,VNTV,Fin
WAC,WAC,Fin
WDR,WDR,Fin
WHG,WHG,Fin
WP,WP,Fin
YUMC,YUMC,Fin
